ID,libelle_zone_d_emploi,code_region,region,code_zone_d_emploi,zone_d_emploi,date,effectifs_salaries_brut,effectifs_salaries_cvs,masse_salariale_brut,masse_salariale_cvs
23371,4423 Strasbourg,44,Grand Est,4423,Strasbourg,031998,214131,214000,1064045276,1120402069
23713,5211 Laval,52,Pays de la Loire,5211,Laval,031998,39409,39923,177460700,186093875
23747,5212 Le Mans,52,Pays de la Loire,5212,Le Mans,031998,89195,90367,413169088,432568533
23807,5214 Les Sables-d'Olonne,52,Pays de la Loire,5214,Les Sables-d'Olonne,031998,11057,11715,44192965,47615055
23839,5215 Mayenne,52,Pays de la Loire,5215,Mayenne,031998,19718,20142,75707248,78698085
23872,5216 Nantes,52,Pays de la Loire,5216,Nantes,031998,206960,208596,1024376658,1059936007
23933,5218 Sablé-sur-Sarthe,52,Pays de la Loire,5218,Sablé-sur-Sarthe,031998,13033,13323,56661716,59542195
23963,5219 Saint-Nazaire,52,Pays de la Loire,5219,Saint-Nazaire,031998,50204,51266,227542781,243895020
24016,5221 Segré-en-Anjou Bleu,52,Pays de la Loire,5221,Segré-en-Anjou Bleu,031998,9994,10077,37947904,39400333
24112,5301 Auray,53,Bretagne,5301,Auray,031998,12065,13132,47179113,53586413
24172,5303 Carhaix-Plouguer,53,Bretagne,5303,Carhaix-Plouguer,031998,12054,12283,46868550,49330273
24314,5307 Lamballe-Armor,53,Bretagne,5307,Lamballe-Armor,031998,9030,9385,34580808,36713305
24522,5314 Quimperlé,53,Bretagne,5314,Quimperlé,031998,9759,9990,41124286,44646261
24684,5319 Vitré,53,Bretagne,5319,Vitré,031998,19746,19890,84168876,86679195
24828,7508 Châtellerault,75,Nouvelle-Aquitaine,7508,Châtellerault,031998,20081,20439,92045973,97572023
24923,7516 Libourne,75,Nouvelle-Aquitaine,7516,Libourne,031998,348,351,1207072,1261448
